"Education﻿Application,Experience"
"Development,Experience"
"Associate,Experience"
"Application,Experience"
"Development,Experience"
"Associate,Experience"
"B.E,Experience"
"in,Experience"
"Information,Experience"
"science,Experience"
"and,Experience"
"engineering,Experience"
"B.v.b,Education"
"college,Education"
"of,Education"
"engineering,Education"
"and,Education"
"technology,Education"
"Woodbine,Education"
"modern,Education"
"school,Education"
"Kendriya,Education"
"Vidyalaya,Education"
"C,Skills"
"Less,Skills"
"than,Skills"
"1,Skills"
"year,Skills"
"Database,Skills"
"Less,Skills"
"than,Skills"
"1,Skills"
"year,Skills"
"Database,Skills"
"Management,Skills"
"Less,Skills"
"than,Skills"
"1,Skills"
"year,Skills"
"Database,Skills"
"Management,Skills"
"System,Skills"
"Less,Skills"
"than,Skills"
"1,Skills"
"year,Skills"
"Java,Skills"
"Less,Skills"
"than,Skills"
"1,Skills"
"year,Skills"
"•,Skills"
"Programming,Skills"
"language:,Skills"
"C,Skills"
"C++,Skills"
"Java,Skills"
"•,Skills"
"Oracle,Skills"
"PeopleSoft,Skills"
"•,Skills"
"Internet,Skills"
"Of,Skills"
"Things,Skills"
"•,Skills"
"Machine,Skills"
"Learning,Skills"
"•,Skills"
"Database,Skills"
"Management,Skills"
"System,Skills"
"•,Skills"
"Computer,Skills"
"Networks,Skills"
"•,Skills"
"Operating,Skills"
"System,Skills"
"worked,Skills"
"on:,Skills"
"Linux,Skills"
"Windows,Skills"
"Mac,Skills"
"Non,Skills"
"-,Skills"
"Technical,Skills"
"Skills,Skills"
"•,Skills"
"Honest,Skills"
"and,Skills"
"Hard-Working,Skills"
"•,Skills"
"Tolerant,Skills"
"and,Skills"
"Flexible,Skills"
"to,Skills"
"Different,Skills"
"Situations,Skills"
"•,Skills"
"Polite,Skills"
"and,Skills"
"Calm,Skills"
"•,Skills"
"Team-Player,Skills"
"PG-DAC,Education"
"CDAC,Education"
"ACTS,Education"
"Bachelor,Education"
"of,Education"
"Engg,Education"
"in,Education"
"Information,Education"
"Technology,Education"
"Shivaji,Education"
"University,Education"
"Kolhapur,Education"
"Database,Skills"
"Less,Skills"
"than,Skills"
"1,Skills"
"year,Skills"
"HTML,Skills"
"Less,Skills"
"than,Skills"
"1,Skills"
"year,Skills"
"Linux.,Skills"
"Less,Skills"
"than,Skills"
"1,Skills"
"year,Skills"
"MICROSOFT,Skills"
"ACCESS,Skills"
"Less,Skills"
"than,Skills"
"1,Skills"
"year,Skills"
"MICROSOFT,Skills"
"WINDOWS,Skills"
"Less,Skills"
"than,Skills"
"1,Skills"
"year,Skills"
"ADDITIONAL,Skills"
"INFORMATION,Skills"
"TECHNICAL,Skills"
"SKILLS:,Skills"
"•,Skills"
"Programming,Skills"
"Languages:,Skills"
"C,Skills"
"C++,Skills"
"Java,Skills"
".net,Skills"
"php.,Skills"
"•,Skills"
"Web,Skills"
"Designing:,Skills"
"HTML,Skills"
"XML,Skills"
"•,Skills"
"Operating,Skills"
"Systems:,Skills"
"Windows,Skills"
"[…],Skills"
"Windows,Skills"
"Server,Skills"
"2003,Skills"
"Linux.,Skills"
"•,Skills"
"Database:,Skills"
"MS,Skills"
"Access,Skills"
"MS,Skills"
"SQL,Skills"
"Server,Skills"
"2008,Skills"
"Oracle,Skills"
"10g,Skills"
"MySql.,Skills"
"Senior,Experience"
"Systems,Experience"
"Engineer,Experience"
"Senior,Experience"
"Systems,Experience"
"Engineer,Experience"
"Electrical,Education"
"and,Education"
"Electronics,Education"
"Engineering,Education"
"Anurag,Education"
"College,Education"
"of,Education"
"Engineering,Education"
"Jntuh,Education"
"servicenow,Skills"
"Mainframe,Skills"
"cobol,Skills"
"Jcl,Skills"
"Teradata,Skills"
"Mainframe,Skills"
"Teradata,Skills"
"Mainframe,Skills"
"Teradata,Skills"
"Operational,Experience"
"Analyst,Experience"
"SQL,Experience"
"DBA,Experience"
"Engineer,Experience"
"Operational,Experience"
"Analyst,Experience"
"SQL,Experience"
"DBA,Experience"
"Engineer,Experience"
"B.Tech,Education"
"in,Education"
"Computer,Education"
"Science,Education"
"and,Education"
"Engineering,Education"
"in,Education"
"CSE,Education"
"Indira,Education"
"Gandhi,Education"
"Institute,Education"
"Of,Education"
"Technology,Education"
"Database,Skills"
"3,Skills"
"years,Skills"
"SQL,Skills"
"3,Skills"
"years,Skills"
"Sql,Skills"
"Dba,Skills"
"❖,Skills"
"Operating,Skills"
"Environment:,Skills"
"[…],Skills"
"Windows95/98/XP/NT,Skills"
"❖,Skills"
"Database,Skills"
"Tool:,Skills"
"SQL,Skills"
"Management,Skills"
"Studio,Skills"
"MSSQL,Skills"
"Business,Skills"
"Development,Skills"
"Studio,Skills"
"Visual,Skills"
"studio,Skills"
"2005,Skills"
"❖,Skills"
"Database,Skills"
"Language:,Skills"
"SQL,Skills"
"PL/SQL,Skills"
"❖,Skills"
"Ticket,Skills"
"Tracking,Skills"
"Tool:,Skills"
"Service,Skills"
"Now,Skills"
"❖,Skills"
"Reporting,Skills"
"Tools:,Skills"
"MS,Skills"
"Reporting,Skills"
"Services,Skills"
"SAS,Skills"
"Languages:,Skills"
"C,Skills"
"C++,Skills"
"PL/SQL,Skills"
"lecturer,Experience"
"lecturer,Experience"
"lecturer,Experience"
"lecturer,Experience"
"MCA,Education"
"Mumbai,Education"
"University,Education"
"B.Sc.,Education"
"in,Education"
"Com.Sci,Education"
"Mumbai,Education"
"University,Education"
"EARCH,Skills"
"ENGINE,Skills"
"MARKETING,Skills"
"2,Skills"
"years,Skills"
"SEM,Skills"
"2,Skills"
"years,Skills"
"ACCESS,Skills"
"Less,Skills"
"than,Skills"
"1,Skills"
"year,Skills"
"AJAX,Skills"
"Less,Skills"
"than,Skills"
"1,Skills"
"year,Skills"
"APACHE,Skills"
"Less,Skills"
"than,Skills"
"1,Skills"
"year,Skills"
"ADDITIONAL,Skills"
"INFORMATION,Skills"
"Technical,Skills"
"skills:,Skills"
"Languages:,Skills"
"C,Skills"
"C++,Skills"
"Java,Skills"
"J2EE,Skills"
"Web,Skills"
"Component,Skills"
"APIS::,Skills"
"Jdbc,Skills"
"Servlet,Skills"
"JSP.,Skills"
"Frameworks:,Skills"
"Spring,Skills"
"4,Skills"
"&,Skills"
"Struts,Skills"
"2,Skills"
"ORM,Skills"
"Framework:,Skills"
"Hibernate,Skills"
"Web,Skills"
"Development:,Skills"
"Html5,Skills"
"CSS3,Skills"
"Java,Skills"
"Script,Skills"
"Ajax,Skills"
"&JQuery,Skills"
"Angular,Skills"
"Js,Skills"
"https://www.indeed.com/r/Ananya-Chavan/738779ab71971a96?isid=rex-download&ikw=download-top&co=IN,Skills"
"https://www.indeed.com/r/Ananya-Chavan/738779ab71971a96?isid=rex-download&ikw=download-top&co=IN,Skills"
"Application,Skills"
"Servers:,Skills"
"Apache,Skills"
"Tomcat,Skills"
"IDE:,Skills"
"Eclipse,Skills"
"Netbeans,Skills"
"Database:,Skills"
"Ms-Access,Skills"
"Mysql,Skills"
"Operating,Skills"
"Systems:,Skills"
"Windows,Skills"
"7,Skills"
"8,Skills"
"10,Skills"
"FTP,Skills"
"Client:,Skills"
"Filezilla,Skills"
"Versioning,Skills"
"Tools:,Skills"
"Git,Skills"
"MCA,Education"
"Automation,Experience"
"developer,Experience"
"Automation,Experience"
"developer,Experience"
"Masters,Education"
"in,Education"
"Computer,Education"
"Science,Education"
"Arizona,Education"
"State,Education"
"University,Education"
"Bachelor,Education"
"of,Education"
"Engineering,Education"
"in,Education"
"Computer,Education"
"Science,Education"
"M,Education"
"S,Education"
"Ramaiah,Education"
"Institute,Education"
"of,Education"
"Technology,Education"
"C,Skills"
"C++,Skills"
"HTML/CSS,Skills"
"Java,Skills"
"Python,Skills"
"Javascript,Skills"
"IoT,Skills"
"MySQL,Skills"
"PostgreSQL,Skills"
"D3js,Skills"
"Hadoop,Skills"
"and,Skills"
"Spark,Skills"
"Gephi,Skills"
"Senior,Experience"
"Program,Experience"
"coordinator,Experience"
"Senior,Experience"
"Program,Experience"
